Iteration; Energy; Damage
715;31.451.031;30.000.000
716;31.351.030;30.000.000
717;31.251.030;30.000.000
718;31.151.030;30.000.000
719;31.051.029;30.000.000
720;30.951.029;30.000.000
721;30.851.028;30.000.000
722;30.751.028;30.000.000
723;30.651.028;30.000.000
724;30.551.027;30.000.000
725;30.451.027;30.000.000
726;30.351.027;30.000.000
727;30.251.026;30.000.000
728;30.151.026;30.000.000
729;30.051.025;30.000.000
730;29.951.025;30.000.000
731;29.851.025;35.000.000
732;29.751.024;35.000.000
733;29.651.024;35.000.000
734;29.551.023;35.000.000
735;29.451.023;35.000.000
736;29.351.023;35.000.000
737;29.251.022;35.000.000
738;29.151.022;35.000.000
739;29.051.022;35.000.000
740;28.951.021;35.000.000
741;28.851.021;35.000.000
742;28.751.020;35.000.000
743;28.651.020;35.000.000
744;28.551.020;35.000.000
745;28.451.019;35.000.000
746;28.351.019;35.000.000
747;28.251.019;35.000.000
748;28.151.018;35.000.000
749;28.051.018;35.000.000
750;27.951.017;35.000.000
751;27.851.017;35.000.000
752;27.751.017;35.000.000
753;27.651.016;35.000.000
754;27.551.016;35.000.000
755;27.451.015;35.000.000
756;27.351.015;35.000.000
757;27.251.015;35.000.000
758;27.151.014;35.000.000
759;27.051.014;35.000.000
760;26.951.014;35.000.000
761;26.851.013;35.000.000
762;26.751.013;35.000.000
763;26.651.012;35.000.000
764;26.551.012;35.000.000
765;26.451.012;35.000.000
766;26.351.011;35.000.000
767;26.251.011;35.000.000
768;26.151.011;35.000.000
769;26.051.010;35.000.000
770;25.951.010;35.000.000
771;25.851.009;35.000.000
772;25.751.009;35.000.000
773;25.651.009;35.000.000
774;25.551.008;35.000.000
775;25.451.008;35.000.000
776;25.351.007;35.000.000
777;25.251.007;35.000.000
778;25.151.007;35.000.000
779;25.051.006;35.000.000
780;24.951.006;35.000.000
781;24.851.006;35.000.000
782;24.751.005;35.000.000
783;24.651.005;35.000.000
784;24.551.004;35.000.000
785;24.451.004;35.000.000
786;24.351.004;35.000.000
787;24.251.003;35.000.000
788;24.151.003;35.000.000
789;24.051.003;35.000.000
790;23.951.002;35.000.000
791;23.851.002;35.000.000
792;23.751.001;35.000.000
793;23.651.001;35.000.000
794;23.551.001;35.000.000
795;23.451.000;35.000.000
796;23.351.000;35.000.000
797;23.250.999;35.000.000
798;23.150.999;35.000.000
799;23.050.999;35.000.000
800;22.950.998;35.000.000
801;22.850.998;35.000.000
802;22.750.998;35.000.000
803;22.650.997;35.000.000
804;22.550.997;35.000.000
805;22.450.996;35.000.000
806;22.350.996;40.000.000
807;22.250.996;40.000.000
808;22.150.995;40.000.000
809;22.050.995;40.000.000
810;21.950.994;40.000.000
811;21.850.994;40.000.000
812;21.750.994;40.000.000
813;21.650.993;40.000.000
814;21.550.993;40.000.000
815;21.450.993;40.000.000
816;21.350.992;40.000.000
817;21.250.992;40.000.000
818;21.150.991;40.000.000
819;21.050.991;40.000.000
820;20.950.991;40.000.000
821;20.850.990;40.000.000
822;20.750.990;40.000.000
823;20.650.990;40.000.000
824;20.550.989;40.000.000
825;20.450.989;40.000.000
826;20.350.988;40.000.000
827;20.250.988;40.000.000
828;20.150.988;40.000.000
829;20.050.987;40.000.000
830;19.950.987;40.000.000
831;19.850.986;40.000.000
832;19.750.986;40.000.000
833;19.650.986;40.000.000
834;19.550.985;40.000.000
835;19.450.985;40.000.000
836;19.350.985;40.000.000
837;19.250.984;40.000.000
838;19.150.984;40.000.000
839;19.050.983;40.000.000
840;18.950.983;40.000.000
841;18.850.983;40.000.000
842;18.750.982;40.000.000
843;18.650.982;40.000.000
844;18.550.982;40.000.000
845;18.450.981;40.000.000
846;18.350.981;40.000.000
847;18.250.980;40.000.000
848;18.150.980;40.000.000
849;18.050.980;40.000.000
850;17.950.979;40.000.000
851;17.850.979;40.000.000
852;17.750.978;40.000.000
853;17.650.978;40.000.000
854;17.550.978;40.000.000
855;17.450.977;40.000.000
856;17.350.977;40.000.000
857;17.250.977;40.000.000
858;17.150.976;40.000.000
859;17.050.976;40.000.000
860;16.950.975;40.000.000
861;16.850.975;40.000.000
862;16.750.975;40.000.000
863;16.650.974;40.000.000
864;16.550.974;40.000.000
865;16.450.974;40.000.000
866;16.350.973;40.000.000
867;16.250.973;40.000.000
868;16.150.972;40.000.000
869;16.050.972;40.000.000
870;15.950.972;40.000.000
871;15.850.971;40.000.000
872;15.750.971;40.000.000
873;15.650.970;40.000.000
874;15.550.970;40.000.000
875;15.450.970;40.000.000
876;15.350.969;40.000.000
877;15.250.969;40.000.000
878;15.150.969;40.000.000
